id,name,mac_address,serial_num,ip_address,mspec_id,public_key,key_index,zone_code,lang_code,is_active,cr_by,cr_dtimes,eff_dtimes
10004,techno-197,F3-DB-84-00-FB-A1,FB5962911686,192.168.0.423,1001,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAvLYkis3X4h5LFkJDXwvHp+2pQeJCZlJXkdTKHD1KRTm89GrpYX0u8skiOr9s7as2+bEqifgaY4fazCOZdBC3P0aDnh+S442kih4TRT8QElc6XonzUaUUWfa2kl11kgIJXijV7IbWRkH2N2afhPxCoLZA/rip/dGWMux6ukbJWKYkv/XXuGDIhTwA1CaYgtzxDuTLhbaYTBWJu61cHuLDqPiFepZ0+2woe0DQ+92tkIyy0cZlCBHHCoTAjLUqzoAIg95welYo333jIqZ+vtgq+pY1aCgrDXdpue0CUy9bOaiZ4WA6jK6i0LrWkR88jdsbxqffbyia1TWxTGAXv5zlrQIDAQAB,4D:03:E4:3A:A4:60:88:BF:1A:68:D7:FC:C5:65:4C:CA:13:2B:55:C4:6A:F2:46:5B:68:B5:46:41:F0:66:45:18,CK,fra,TRUE,superadmin,now(),now()
10005,techno-236,61-D3-FD-12-C9-ED,FB5962911687,192.168.0.424,1001,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAyQfVG2BYK1TZ65SNGPBi9GuB1at+ljH8ksGGsR9uMGQuCoK2D83Phs3foBCpJM1loUhhnp6R2zuJ8jUyTjfr5zGaxd80e0KJHKpRFPWYgnufGmG23cqC2v/OQjC/rYQ86VXXZehG1TwJ2+3tCdTWfKTDe8xFurhma9qKS1nuORIj0CPBXgZUL6HYueXOeAZDDt0ijwqdXP5sDo8kW01BhcbhvEbEHLNIcz6pl7Jb5tygNUiPhVp55rRAorB/tJuYVqBI5He0WnCF1VwM157B31P0xyNrVx4I6dft4iamS+wFozPb1mR00/jy04/OVwGTs6KM01Dafv/khx7VlakVmwIDAQAB,49:40:22:0D:2B:CE:93:5D:7D:ED:CD:40:42:D1:10:7F:C7:31:9E:36:FF:22:47:F1:15:D4:A9:76:E8:F1:9D:DC,CK,fra,TRUE,superadmin,now(),now()
10006,techno-243,54-BF-64-23-67-46,FB5962911687,192.168.0.424,1001,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAip7pvBafRmhJUIOvd5KggGAYrJS3fbfDX6N9NLceQlBBMBCl29XbK97kKeE2OryMQR3C0NVI3bm3LV3mWpQ2XAQOvsQkXCmwlG/3aztx21/piW8KLgSnr+6QEY8+IooD9qGH+IJ31QBQk+SOudQ/0a0immxaRkd13+F1AyDwwHutQY8Ga5xEi6vx5VGxgWbxY8v0Tc4d+YUx6AsWvXipFka/Zy5Px8N78yCahFeSdcQCajDZUbuJrJFKfTlClPigBW0xgpIe8XB90+4r20ZgZQ7A0MpYy3TcYw1/7leO6H+Y8aRVc4SQOsKQbr7nSTEDT9NeErhgt8n8D1nnm6c/HQIDAQAB,93:3F:0E:BA:58:7D:49:7C:64:C5:45:27:E5:20:A6:31:A0:5C:24:64:06:77:31:48:8F:21:6A:67:54:FB:17:41,CK,fra,TRUE,superadmin,now(),now()
91001,desktop-70qkdpb,F3-DB-84-00-FB-A2,FB5962911687,192.168.0.424,1002,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAvLYkis3X4h5LFkJDXwvHp+2pQeJCZlJXkdTKHD1KRTm89GrpYX0u8skiOr9s7as2+bEqifgaY4fazCOZdBC3P0aDnh+S442kih4TRT8QElc6XonzUaUUWfa2kl11kgIJXijV7IbWRkH2N2afhPxCoLZA/rip/dGWMux6ukbJWKYkv/XXuGDIhTwA1CaYgtzxDuTLhbaYTBWJu61cHuLDqPiFepZ0+2woe0DQ+92tkIyy0cZlCBHHCoTAjLUqzoAIg95welYo333jIqZ+vtgq+pY1aCgrDXdpue0CUy9bOaiZ4WA6jK6i0LrWkR88jdsbxqffbyia1TWxTGAXv5zlrQIDAQAB,93:3F:0E:BA:58:7D:49:7C:64:C5:45:27:E5:20:A6:31:A0:5C:24:64:06:77:31:48:8F:21:6A:67:54:FB:17:42,CK,fra,TRUE,superadmin,now(),now()
91002,condeis-pc,F3-DB-84-00-FB-A2,FB5962911687,192.168.0.424,1002,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAvLYkis3X4h5LFkJDXwvHp+2pQeJCZlJXkdTKHD1KRTm89GrpYX0u8skiOr9s7as2+bEqifgaY4fazCOZdBC3P0aDnh+S442kih4TRT8QElc6XonzUaUUWfa2kl11kgIJXijV7IbWRkH2N2afhPxCoLZA/rip/dGWMux6ukbJWKYkv/XXuGDIhTwA1CaYgtzxDuTLhbaYTBWJu61cHuLDqPiFepZ0+2woe0DQ+92tkIyy0cZlCBHHCoTAjLUqzoAIg95welYo333jIqZ+vtgq+pY1aCgrDXdpue0CUy9bOaiZ4WA6jK6i0LrWkR88jdsbxqffbyia1TWxTGAXv5zlrQIDAQAB,93:3F:0E:BA:58:7D:49:7C:64:C5:45:27:E5:20:A6:31:A0:5C:24:64:06:77:31:48:8F:21:6A:67:54:FB:17:42,CK,fra,TRUE,superadmin,now(),now()
91003,desktop-77q2501,F3-DB-84-00-FB-A3,FB5962911688,192.168.0.425,1002,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAvLYkis3X4h5LFkJDXwvHp+2pQeJCZlJXkdTKHD1KRTm89GrpYX0u8skiOr9s7as2+bEqifgaY4fazCOZdBC3P0aDnh+S442kih4TRT8QElc6XonzUaUUWfa2kl11kgIJXijV7IbWRkH2N2afhPxCoLZA/rip/dGWMux6ukbJWKYkv/XXuGDIhTwA1CaYgtzxDuTLhbaYTBWJu61cHuLDqPiFepZ0+2woe0DQ+92tkIyy0cZlCBHHCoTAjLUqzoAIg95welYo333jIqZ+vtgq+pY1aCgrDXdpue0CUy9bOaiZ4WA6jK6i0LrWkR88jdsbxqffbyia1TWxTGAXv5zlrQIDAQAB,93:3F:0E:BA:58:7D:49:7C:64:C5:45:27:E5:20:A6:31:A0:5C:24:64:06:77:31:48:8F:21:6A:67:54:FB:17:43,CK,fra,TRUE,superadmin,now(),now()
91004,rshcherif,F3-DB-84-00-FB-A4,FB5962911689,192.168.0.426,1002,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAvLYkis3X4h5LFkJDXwvHp+2pQeJCZlJXkdTKHD1KRTm89GrpYX0u8skiOr9s7as2+bEqifgaY4fazCOZdBC3P0aDnh+S442kih4TRT8QElc6XonzUaUUWfa2kl11kgIJXijV7IbWRkH2N2afhPxCoLZA/rip/dGWMux6ukbJWKYkv/XXuGDIhTwA1CaYgtzxDuTLhbaYTBWJu61cHuLDqPiFepZ0+2woe0DQ+92tkIyy0cZlCBHHCoTAjLUqzoAIg95welYo333jIqZ+vtgq+pY1aCgrDXdpue0CUy9bOaiZ4WA6jK6i0LrWkR88jdsbxqffbyia1TWxTGAXv5zlrQIDAQAB,93:3F:0E:BA:58:7D:49:7C:64:C5:45:27:E5:20:A6:31:A0:5C:24:64:06:77:31:48:8F:21:6A:67:54:FB:17:44,CK,fra,TRUE,superadmin,now(),now()
91005,elhadj-hp-elitebook-2570p,F3-DB-84-00-FB-A5,FB5962911690,192.168.0.427,1002,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAvLYkis3X4h5LFkJDXwvHp+2pQeJCZlJXkdTKHD1KRTm89GrpYX0u8skiOr9s7as2+bEqifgaY4fazCOZdBC3P0aDnh+S442kih4TRT8QElc6XonzUaUUWfa2kl11kgIJXijV7IbWRkH2N2afhPxCoLZA/rip/dGWMux6ukbJWKYkv/XXuGDIhTwA1CaYgtzxDuTLhbaYTBWJu61cHuLDqPiFepZ0+2woe0DQ+92tkIyy0cZlCBHHCoTAjLUqzoAIg95welYo333jIqZ+vtgq+pY1aCgrDXdpue0CUy9bOaiZ4WA6jK6i0LrWkR88jdsbxqffbyia1TWxTGAXv5zlrQIDAQAB,93:3F:0E:BA:58:7D:49:7C:64:C5:45:27:E5:20:A6:31:A0:5C:24:64:06:77:31:48:8F:21:6A:67:54:FB:17:45,CK,fra,TRUE,superadmin,now(),now()
91006,wuri-dt-dsk,F3-DB-84-00-FB-A6,FB5962911691,192.168.0.428,1002,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAkrYb0lz8Jnk7HNq8dCRrjHediKa1gWP2Yhpa5HE1yCarqpIOrcnZOgyVtaVCRLSKv5+Cw0zzZdvmbuQObf6RgnGaAw3rLP/BF81EWFHkN8/+F3OxnEYHzR4e88xXm4PPHWIuKQrnqp+gy98AFkbeJjK0NKod1CrWQc7vkrdgRZ1l3p5q4sBX1AsqytrtKAHqi/Ow82aLL/gLySvxnN5Gm2Yne2rvg85kPn8kYQ4xt1h8eN/JPxECblyE+kqbKzMOGSQU3P7EgmVl1++ot2Tsqj0a8uXgTjPjVlf+xxmjyCRkpjrM659rpvjAkIvHbfMIjiWzn+hIQjvvhAgK7IjVmQIDAQAB,9A:28:69:4C:40:05:78:15:58:C1:44:C6:37:36:C9:3A:20:70:92:9E:25:85:DB:BD:F9:29:FD:56:93:94:0D:14,CK,fra,TRUE,superadmin,now(),now()
91007,teli_bah,F3-DB-84-00-FB-A7,FB5962911692,192.168.0.429,1002,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAvLYkis3X4h5LFkJDXwvHp+2pQeJCZlJXkdTKHD1KRTm89GrpYX0u8skiOr9s7as2+bEqifgaY4fazCOZdBC3P0aDnh+S442kih4TRT8QElc6XonzUaUUWfa2kl11kgIJXijV7IbWRkH2N2afhPxCoLZA/rip/dGWMux6ukbJWKYkv/XXuGDIhTwA1CaYgtzxDuTLhbaYTBWJu61cHuLDqPiFepZ0+2woe0DQ+92tkIyy0cZlCBHHCoTAjLUqzoAIg95welYo333jIqZ+vtgq+pY1aCgrDXdpue0CUy9bOaiZ4WA6jK6i0LrWkR88jdsbxqffbyia1TWxTGAXv5zlrQIDAQAB,93:3F:0E:BA:58:7D:49:7C:64:C5:45:27:E5:20:A6:31:A0:5C:24:64:06:77:31:48:8F:21:6A:67:54:FB:17:47,CK,fra,TRUE,superadmin,now(),now()
10007,oslo,F3-DB-84-00-FB-A7,FB5962911692,192.168.0.429,1002,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAvLYkis3X4h5LFkJDXwvHp+2pQeJCZlJXkdTKHD1KRTm89GrpYX0u8skiOr9s7as2+bEqifgaY4fazCOZdBC3P0aDnh+S442kih4TRT8QElc6XonzUaUUWfa2kl11kgIJXijV7IbWRkH2N2afhPxCoLZA/rip/dGWMux6ukbJWKYkv/XXuGDIhTwA1CaYgtzxDuTLhbaYTBWJu61cHuLDqPiFepZ0+2woe0DQ+92tkIyy0cZlCBHHCoTAjLUqzoAIg95welYo333jIqZ+vtgq+pY1aCgrDXdpue0CUy9bOaiZ4WA6jK6i0LrWkR88jdsbxqffbyia1TWxTGAXv5zlrQIDAQAB,93:3F:0E:BA:58:7D:49:7C:64:C5:45:27:E5:20:A6:31:A0:5C:24:64:06:77:31:48:8F:21:6A:67:54:FB:17:47,CK,fra,TRUE,superadmin,now(),now()
10008,rabat,F3-DB-84-00-FB-A7,FB5962911692,192.168.0.429,1002,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAvLYkis3X4h5LFkJDXwvHp+2pQeJCZlJXkdTKHD1KRTm89GrpYX0u8skiOr9s7as2+bEqifgaY4fazCOZdBC3P0aDnh+S442kih4TRT8QElc6XonzUaUUWfa2kl11kgIJXijV7IbWRkH2N2afhPxCoLZA/rip/dGWMux6ukbJWKYkv/XXuGDIhTwA1CaYgtzxDuTLhbaYTBWJu61cHuLDqPiFepZ0+2woe0DQ+92tkIyy0cZlCBHHCoTAjLUqzoAIg95welYo333jIqZ+vtgq+pY1aCgrDXdpue0CUy9bOaiZ4WA6jK6i0LrWkR88jdsbxqffbyia1TWxTGAXv5zlrQIDAQAB,93:3F:0E:BA:58:7D:49:7C:64:C5:45:27:E5:20:A6:31:A0:5C:24:64:06:77:31:48:8F:21:6A:67:54:FB:17:47,CK,fra,TRUE,superadmin,now(),now()
